month ,year,flow [acre-ft/month]
4,1929,1698113.00
5,1929,4276260.00
6,1929,5414639.00
7,1929,2744488.00
8,1929,2389753.00
9,1929,1742400.00
10,1929,964744.00
11,1929,560310.00
12,1929,437244.00
1,1930,298790.00
2,1930,485407.00
3,1930,575245.00
4,1930,1792671.00
5,1930,2168481.00
6,1930,3724824.00
7,1930,1693721.00
8,1930,1891015.00
9,1930,691053.00
10,1930,587559.00
11,1930,423714.00
12,1930,288560.00
1,1931,263662.00
2,1931,366638.00
3,1931,429833.00
4,1931,597640.00
5,1931,1387684.00
6,1931,2042728.00
7,1931,1147598.00
8,1931,671677.00
9,1931,424426.00
10,1931,536284.00
11,1931,353321.00
12,1931,252642.00
1,1932,272930.00
2,1932,557282.00
3,1932,673831.00
4,1932,1676128.00
5,1932,4286246.00
6,1932,4193513.00
7,1932,2684942.00
8,1932,1364498.00
9,1932,693905.00
10,1932,367644.00
11,1932,378380.00
12,1932,272887.00
1,1933,273377.00
2,1933,255953.00
3,1933,501362.00
4,1933,515700.00
5,1933,1604249.00
6,1933,4680018.00
7,1933,1898288.00
8,1933,818373.00
9,1933,563832.00
10,1933,440664.00
11,1933,297779.00
12,1933,333907.00
1,1934,308075.00
2,1934,303394.00
3,1934,349072.00
4,1934,557262.00
5,1934,1480351.00
6,1934,1018245.00
7,1934,721126.00
8,1934,532811.00
9,1934,284828.00
10,1934,212899.00
11,1934,181355.00
12,1934,228772.00
1,1935,254933.00
2,1935,274011.00
3,1935,339574.00
4,1935,685733.00
5,1935,1585305.00
6,1935,4708552.00
7,1935,2255472.00
8,1935,959192.00
9,1935,594224.00
10,1935,387726.00
11,1935,319435.00
12,1935,266192.00
1,1936,264047.00
2,1936,318399.00
3,1936,459898.00
4,1936,1400149.00
5,1936,4032422.00
6,1936,3360120.00
7,1936,1709054.00
8,1936,1262461.00
9,1936,705479.00
10,1936,376632.00
11,1936,443083.00
12,1936,317127.00
1,1937,200331.00
2,1937,414259.00
3,1937,700570.00
4,1937,1559558.00
5,1937,3833664.00
6,1937,2958383.00
7,1937,1923465.00
8,1937,838115.00
9,1937,596566.00
10,1937,505920.00
11,1937,384592.00
12,1937,390633.00
1,1938,325636.00
2,1938,354576.00
3,1938,794138.00
4,1938,1659082.00
5,1938,3599127.00
6,1938,5324845.00
7,1938,2503358.00
8,1938,1027382.00
9,1938,1050775.00
10,1938,618499.00
11,1938,479804.00
12,1938,411097.00
1,1939,348487.00
2,1939,300376.00
3,1939,809304.00
4,1939,1228539.00
5,1939,2865279.00
6,1939,2250281.00
7,1939,1104801.00
8,1939,629627.00
9,1939,671962.00
10,1939,358134.00
11,1939,312958.00
12,1939,284314.00
1,1940,261838.00
2,1940,301174.00
3,1940,439069.00
4,1940,735512.00
5,1940,2442459.00
6,1940,2212811.00
7,1940,984226.00
8,1940,522322.00
9,1940,525462.00
10,1940,731809.00
11,1940,410101.00
12,1940,364873.00
1,1941,355941.00
2,1941,430079.00
3,1941,675567.00
4,1941,1127132.00
5,1941,5323093.00
6,1941,4598652.00
7,1941,2428433.00
8,1941,1190375.00
9,1941,683285.00
10,1941,1813960.00
11,1941,913231.00
12,1941,576929.00
1,1942,404450.00
2,1942,395910.00
3,1942,660985.00
4,1942,2902862.00
5,1942,3500486.00
6,1942,4834784.00
7,1942,2074078.00
8,1942,938573.00
9,1942,412011.00
10,1942,358326.00
11,1942,373655.00
12,1942,369016.00
1,1943,345094.00
2,1943,344573.00
3,1943,533607.00
4,1943,1624861.00
5,1943,2446508.00
6,1943,3294191.00
7,1943,2132619.00
8,1943,1188466.00
9,1943,613563.00
10,1943,386115.00
11,1943,442637.00
12,1943,379167.00
1,1944,284953.00
2,1944,344393.00
3,1944,515043.00
4,1944,1060878.00
5,1944,3622415.00
6,1944,4760167.00
7,1944,2526378.00
8,1944,857685.00
9,1944,332678.00
10,1944,378318.00
11,1944,378988.00
12,1944,307526.00
1,1945,330444.00
2,1945,359434.00
3,1945,430301.00
4,1945,790464.00
5,1945,3150282.00
6,1945,3358331.00
7,1945,2468347.00
8,1945,1465735.00
9,1945,494543.00
10,1945,538329.00
11,1945,434400.00
12,1945,319918.00
1,1946,348056.00
2,1946,313504.00
3,1946,506085.00
4,1946,1141099.00
5,1946,1970811.00
6,1946,2755500.00
7,1946,1432801.00
8,1946,852859.00
9,1946,449366.00
10,1946,430011.00
11,1946,472765.00
12,1946,422598.00
1,1947,265000.00
2,1947,353367.00
3,1947,656705.00
4,1947,844051.00
5,1947,3600478.00
6,1947,3790869.00
7,1947,2726585.00
8,1947,1575216.00
9,1947,778634.00
10,1947,830410.00
11,1947,577524.00
12,1947,440646.00
1,1948,375948.00
2,1948,432004.00
3,1948,624879.00
4,1948,1728270.00
5,1948,4032836.00
6,1948,3915190.00
7,1948,1662639.00
8,1948,887163.00
9,1948,372680.00
10,1948,361999.00
11,1948,399745.00
12,1948,345940.00
1,1949,326825.00
2,1949,350930.00
3,1949,692323.00
4,1949,1377417.00
5,1949,3474042.00
6,1949,5116808.00
7,1949,2809867.00
8,1949,985996.00
9,1949,420280.00
10,1949,539732.00
11,1949,475823.00
12,1949,363538.00
1,1950,346883.00
2,1950,394728.00
3,1950,631678.00
4,1950,1270496.00
5,1950,2239296.00
6,1950,3782182.00
7,1950,2027117.00
8,1950,817607.00
9,1950,428841.00
10,1950,423062.00
11,1950,355831.00
12,1950,422695.00
1,1951,307758.00
2,1951,356588.00
3,1951,416528.00
4,1951,564533.00
5,1951,2034805.00
6,1951,3694508.00
7,1951,2205007.00
8,1951,1172271.00
9,1951,532247.00
10,1951,430044.00
11,1951,451352.00
12,1951,340253.00
1,1952,490658.00
2,1952,385654.00
3,1952,435309.00
4,1952,2329319.00
5,1952,5569121.00
6,1952,6201051.00
7,1952,2317967.00
8,1952,1255129.00
9,1952,694186.00
10,1952,376061.00
11,1952,376582.00
12,1952,374385.00
1,1953,402474.00
2,1953,365207.00
3,1953,458845.00
4,1953,554827.00
5,1953,1285021.00
6,1953,3910327.00
7,1953,1662389.00
8,1953,1032517.00
9,1953,405366.00
10,1953,318406.00
11,1953,427066.00
12,1953,342974.00
1,1954,317925.00
2,1954,341586.00
3,1954,388722.00
4,1954,666898.00
5,1954,1753441.00
6,1954,1396009.00
7,1954,1255884.00
8,1954,664718.00
9,1954,494512.00
10,1954,570813.00
11,1954,355936.00
12,1954,289658.00
1,1955,254680.00
2,1955,252729.00
3,1955,590617.00
4,1955,697977.00
5,1955,1950795.00
6,1955,2332135.00
7,1955,1220313.00
8,1955,920244.00
9,1955,359573.00
10,1955,225234.00
11,1955,274490.00
12,1955,335121.00
1,1956,379784.00
2,1956,279980.00
3,1956,513692.00
4,1956,993694.00
5,1956,2814517.00
6,1956,3534913.00
7,1956,1151798.00
8,1956,703754.00
9,1956,298120.00
10,1956,193813.00
11,1956,304643.00
12,1956,258166.00
1,1957,295275.00
2,1957,331116.00
3,1957,508805.00
4,1957,868604.00
5,1957,2805792.00
6,1957,6669099.00
7,1957,4906010.00
8,1957,2007877.00
9,1957,1010603.00
10,1957,756358.00
11,1957,838468.00
12,1957,502956.00
1,1958,392045.00
2,1958,536727.00
3,1958,688965.00
4,1958,1599996.00
5,1958,4597690.00
6,1958,4562509.00
7,1958,1308184.00
8,1958,677219.00
9,1958,438820.00
10,1958,333453.00
11,1958,358554.00
12,1958,368349.00
1,1959,306407.00
2,1959,313512.00
3,1959,350118.00
4,1959,463516.00
5,1959,1380376.00
6,1959,2826173.00
7,1959,1448923.00
8,1959,766845.00
9,1959,316311.00
10,1959,557316.00
11,1959,517710.00
12,1959,350962.00
1,1960,289809.00
2,1960,314720.00
3,1960,749816.00
4,1960,1720737.00
5,1960,1977890.00
6,1960,3222979.00
7,1960,1361812.00
8,1960,582813.00
9,1960,328283.00
10,1960,361418.00
11,1960,348931.00
12,1960,264952.00
1,1961,244498.00
2,1961,318919.00
3,1961,368225.00
4,1961,637529.00
5,1961,1642974.00
6,1961,2528584.00
7,1961,956734.00
8,1961,718990.00
9,1961,856024.00
10,1961,819598.00
11,1961,547420.00
12,1961,370764.00
1,1962,334494.00
2,1962,774737.00
3,1962,545028.00
4,1962,2532520.00
5,1962,4119768.00
6,1962,3849168.00
7,1962,2550866.00
8,1962,912852.00
9,1962,412135.00
10,1962,555007.00
11,1962,448064.00
12,1962,342970.00
1,1963,201557.00
2,1963,370712.00
3,1963,575260.00
4,1963,763590.00
5,1963,1808387.00
6,1963,1839152.00
7,1963,911665.00
8,1963,683519.00
9,1963,669169.00
10,1963,298163.00
11,1963,320322.00
12,1963,227585.00
1,1964,228419.00
2,1964,237709.00
3,1964,304453.00
4,1964,625131.00
5,1964,2339107.00
6,1964,2879083.00
7,1964,1694287.00
8,1964,872763.00
9,1964,328428.00
10,1964,251758.00
11,1964,289023.00
12,1964,326909.00
1,1965,348183.00
2,1965,358076.00
3,1965,409947.00
4,1965,1340340.00
5,1965,3304458.00
6,1965,5540882.00
7,1965,3804207.00
8,1965,1593732.00
9,1965,866156.00
10,1965,858756.00
11,1965,561492.00
12,1965,536466.00
1,1966,398867.00
2,1966,371156.00
3,1966,933426.00
4,1966,1234216.00
5,1966,2412775.00
6,1966,1862712.00
7,1966,1034712.00
8,1966,576416.00
9,1966,358769.00
10,1966,326107.00
11,1966,342157.00
12,1966,374038.00
1,1967,273505.00
2,1967,323276.00
3,1967,568909.00
4,1967,578857.00
5,1967,1770183.00
6,1967,3868328.00
7,1967,2097389.00
8,1967,854715.00
9,1967,409527.00
10,1967,259954.00
11,1967,330727.00
12,1967,234853.00
1,1968,316884.00
2,1968,384459.00
3,1968,518730.00
4,1968,605856.00
5,1968,2123290.00
6,1968,4929849.00
7,1968,1734024.00
8,1968,1453636.00
9,1968,415025.00
10,1968,440545.00
11,1968,396908.00
12,1968,309405.00
1,1969,405737.00
2,1969,369100.00
3,1969,556679.00
4,1969,1903075.00
5,1969,3740992.00
6,1969,2907353.00
7,1969,2034887.00
8,1969,883277.00
9,1969,595518.00
10,1969,694654.00
11,1969,526354.00
12,1969,387905.00
1,1970,368849.00
2,1970,356782.00
3,1970,432545.00
4,1970,565486.00
5,1970,3564437.00
6,1970,4063989.00
7,1970,2040393.00
8,1970,913384.00
9,1970,1126116.00
10,1970,629619.00
11,1970,495124.00
12,1970,391774.00
1,1971,433513.00
2,1971,457823.00
3,1971,608728.00
4,1971,1356767.00
5,1971,2484636.00
6,1971,4371870.00
7,1971,2087946.00
8,1971,926457.00
9,1971,623115.00
10,1971,651011.00
11,1971,528766.00
12,1971,454617.00
1,1972,448788.00
2,1972,445815.00
3,1972,816009.00
4,1972,828047.00
5,1972,1981721.00
6,1972,3760649.00
7,1972,1211075.00
8,1972,706752.00
9,1972,565150.00
10,1972,1260321.00
11,1972,641607.00
12,1972,450466.00
1,1973,423685.00
2,1973,491124.00
3,1973,890799.00
4,1973,1438117.00
5,1973,4576234.00
6,1973,4846986.00
7,1973,2680970.00
8,1973,952839.00
9,1973,617634.00
10,1973,400019.00
11,1973,457912.00
12,1973,381382.00
1,1974,393185.00
2,1974,360612.00
3,1974,777254.00
4,1974,957546.00
5,1974,3351473.00
6,1974,3264349.00
7,1974,1518772.00
8,1974,733546.00
9,1974,369296.00
10,1974,407773.00
11,1974,484722.00
12,1974,302342.00
1,1975,342075.00
2,1975,359698.00
3,1975,624008.00
4,1975,889610.00
5,1975,2780992.00
6,1975,4978618.00
7,1975,3857109.00
8,1975,1005395.00
9,1975,531444.00
10,1975,379963.00
11,1975,400202.00
12,1975,385619.00
1,1976,331589.00
2,1976,470743.00
3,1976,551702.00
4,1976,869300.00
5,1976,2511757.00
6,1976,2770235.00
7,1976,1290616.00
8,1976,742669.00
9,1976,495413.00
10,1976,413053.00
11,1976,346140.00
12,1976,249569.00
1,1977,288845.00
2,1977,300364.00
3,1977,269032.00
4,1977,374750.00
5,1977,616110.00
6,1977,947806.00
7,1977,656971.00
8,1977,589996.00
9,1977,383831.00
10,1977,313183.00
11,1977,326381.00
12,1977,313344.00
1,1978,368326.00
2,1978,315558.00
3,1978,647797.00
4,1978,1295785.00
5,1978,2765971.00
6,1978,4925050.00
7,1978,2430750.00
8,1978,787002.00
9,1978,403669.00
10,1978,337811.00
11,1978,484111.00
12,1978,396350.00
1,1979,378731.00
2,1979,400176.00
3,1979,819969.00
4,1979,1858396.00
5,1979,4008429.00
6,1979,5024064.00
7,1979,2479530.00
8,1979,1032190.00
9,1979,390028.00
10,1979,324668.00
11,1979,383942.00
12,1979,341836.00
1,1980,454814.00
2,1980,621549.00
3,1980,655948.00
4,1980,1533258.00
5,1980,4411450.00
6,1980,5201915.00
7,1980,2031055.00
8,1980,666240.00
9,1980,685475.00
10,1980,352607.00
11,1980,413916.00
12,1980,414663.00
1,1981,332319.00
2,1981,321303.00
3,1981,403287.00
4,1981,680819.00
5,1981,1246754.00
6,1981,2314271.00
7,1981,1090590.00
8,1981,501558.00
9,1981,575884.00
10,1981,672460.00
11,1981,434631.00
12,1981,352948.00
1,1982,295310.00
2,1982,394974.00
3,1982,687185.00
4,1982,1064939.00
5,1982,3212503.00
6,1982,4241781.00
7,1982,2770305.00
8,1982,1570519.00
9,1982,1020876.00
10,1982,887132.00
11,1982,635938.00
12,1982,548467.00
1,1983,419548.00
2,1983,485317.00
3,1983,985549.00
4,1983,1268766.00
5,1983,3827844.00
6,1983,7541216.00
7,1983,4410778.00
8,1983,1941233.00
9,1983,765990.00
10,1983,844606.00
11,1983,571189.00
12,1983,541439.00
1,1984,290676.00
2,1984,458023.00
3,1984,787162.00
4,1984,1582902.00
5,1984,6583376.00
6,1984,6435157.00
7,1984,3385627.00
8,1984,1823642.00
9,1984,888826.00
10,1984,906691.00
11,1984,663264.00
12,1984,556611.00
1,1985,480705.00
2,1985,451725.00
3,1985,1203146.00
4,1985,3105867.00
5,1985,5312587.00
6,1985,4681621.00
7,1985,2060834.00
8,1985,975215.00
9,1985,641735.00
10,1985,879910.00
11,1985,638565.00
12,1985,568198.00
1,1986,416639.00
2,1986,681240.00
3,1986,1063970.00
4,1986,2388121.00
5,1986,4287470.00
6,1986,6102713.00
7,1986,3145863.00
8,1986,1231615.00
9,1986,901055.00
10,1986,1162233.00
11,1986,927027.00
12,1986,607306.00
1,1987,404773.00
2,1987,645717.00
3,1987,1017625.00
4,1987,2158745.00
5,1987,3702780.00
6,1987,3034077.00
7,1987,1343147.00
8,1987,981470.00
9,1987,569800.00
10,1987,494457.00
11,1987,609124.00
12,1987,327095.00
1,1988,307887.00
2,1988,451748.00
3,1988,732760.00
4,1988,1225313.00
5,1988,2199417.00
6,1988,2748582.00
7,1988,1277147.00
8,1988,787062.00
9,1988,477630.00
10,1988,409131.00
11,1988,283366.00
12,1988,260944.00
1,1989,222083.00
2,1989,360831.00
3,1989,872997.00
4,1989,1291521.00
5,1989,1778584.00
6,1989,1900009.00
7,1989,1066505.00
8,1989,739470.00
9,1989,344129.00
10,1989,304892.00
11,1989,326339.00
12,1989,245370.00
1,1990,266122.00
2,1990,267972.00
3,1990,428196.00
4,1990,694214.00
5,1990,1309652.00
6,1990,2633045.00
7,1990,1322104.00
8,1990,643630.00
9,1990,523536.00
10,1990,576699.00
11,1990,429723.00
12,1990,244321.00
1,1991,308189.00
2,1991,387148.00
3,1991,535324.00
4,1991,945975.00
5,1991,2361799.00
6,1991,3428823.00
7,1991,1432997.00
8,1991,907253.00
9,1991,768201.00
10,1991,325122.00
11,1991,549575.00
12,1991,356929.00
1,1992,307216.00
2,1992,466168.00
3,1992,678690.00
4,1992,1246016.00
5,1992,2497785.00
6,1992,2062162.00
7,1992,1226543.00
8,1992,816360.00
9,1992,544911.00
10,1992,367887.00
11,1992,426490.00
12,1992,286001.00
1,1993,537159.00
2,1993,492885.00
3,1993,1002048.00
4,1993,1560017.00
5,1993,4904073.00
6,1993,5077555.00
7,1993,2289723.00
8,1993,1088321.00
9,1993,649655.00
10,1993,538151.00
11,1993,412652.00
12,1993,347165.00
1,1994,375163.00
2,1994,355853.00
3,1994,708445.00
4,1994,927765.00
5,1994,2495467.00
6,1994,2418105.00
7,1994,917464.00
8,1994,607103.00
9,1994,483125.00
10,1994,496877.00
11,1994,396092.00
12,1994,374476.00
1,1995,332828.00
2,1995,435718.00
3,1995,932703.00
4,1995,862832.00
5,1995,2642354.00
6,1995,6422751.00
7,1995,4852632.00
8,1995,1546501.00
9,1995,563335.00
10,1995,537651.00
11,1995,464974.00
12,1995,380144.00
1,1996,365856.00
2,1996,483713.00
3,1996,523381.00
4,1996,1218499.00
5,1996,3562189.00
6,1996,3603751.00
7,1996,1810436.00
8,1996,636453.00
9,1996,466083.00
10,1996,498274.00
11,1996,605830.00
12,1996,443538.00
1,1997,458925.00
2,1997,385123.00
3,1997,1173452.00
4,1997,1700892.00
5,1997,4911190.00
6,1997,6051008.00
7,1997,2176510.00
8,1997,1463219.00
9,1997,1316685.00
10,1997,957040.00
11,1997,636013.00
12,1997,454381.00
1,1998,493365.00
2,1998,441150.00
3,1998,828491.00
4,1998,1518917.00
5,1998,3878484.00
6,1998,3568589.00
7,1998,2377057.00
8,1998,1128181.00
9,1998,686902.00
10,1998,681440.00
11,1998,711796.00
12,1998,390381.00
1,1999,466549.00
2,1999,442103.00
3,1999,664609.00
4,1999,914527.00
5,1999,2833326.00
6,1999,4483228.00
7,1999,2338624.00
8,1999,1612008.00
9,1999,913302.00
10,1999,460266.00
11,1999,385793.00
12,1999,357783.00
1,2000,401044.00
2,2000,416701.00
3,2000,554737.00
4,2000,1213675.00
5,2000,2690226.00
6,2000,2185655.00
7,2000,944235.00
8,2000,503041.00
9,2000,428098.00
10,2000,450515.00
11,2000,395646.00
12,2000,350280.00
1,2001,317107.00
2,2001,336063.00
3,2001,655612.00
4,2001,1000852.00
5,2001,3039642.00
6,2001,2233662.00
7,2001,1033651.00
8,2001,781198.00
9,2001,431219.00
10,2001,279305.00
11,2001,334165.00
12,2001,281321.00
1,2002,278104.00
2,2002,255261.00
3,2002,382879.00
4,2002,623556.00
5,2002,819910.00
6,2002,1056135.00
7,2002,646998.00
8,2002,388039.00
9,2002,523486.00
10,2002,347788.00
11,2002,412507.00
12,2002,285890.00
1,2003,280313.00
2,2003,267557.00
3,2003,519549.00
4,2003,713210.00
5,2003,2267104.00
6,2003,2913716.00
7,2003,1175393.00
8,2003,594706.00
9,2003,674207.00
10,2003,380644.00
11,2003,414571.00
12,2003,335558.00
1,2004,288258.00
2,2004,317030.00
3,2004,760099.00
4,2004,1129639.00
5,2004,2039278.00
6,2004,1783703.00
7,2004,1039535.00
8,2004,484520.00
9,2004,471655.00
10,2004,621933.00
11,2004,570151.00
12,2004,421046.00
1,2005,664047.00
2,2005,558718.00
3,2005,714482.00
4,2005,1773872.00
5,2005,4162443.00
6,2005,4340300.00
7,2005,1935650.00
8,2005,855759.00
9,2005,492798.00
10,2005,737770.00
11,2005,507145.00
12,2005,378097.00
1,2006,396846.00
2,2006,329381.00
3,2006,540433.00
4,2006,1537460.00
5,2006,3236147.00
6,2006,2500058.00
7,2006,1148532.00
8,2006,778003.00
9,2006,537796.00
10,2006,1563307.00
11,2006,578096.00
12,2006,401877.00
1,2007,336776.00
2,2007,455287.00
3,2007,1012740.00
4,2007,1191051.00
5,2007,2547492.00
6,2007,2129562.00
7,2007,1054421.00
8,2007,816445.00
9,2007,478067.00
10,2007,570652.00
11,2007,414005.00
12,2007,409944.00
1,2008,366643.00
2,2008,475282.00
3,2008,742476.00
4,2008,1366520.00
5,2008,3584777.00
6,2008,4807009.00
7,2008,2222805.00
8,2008,868207.00
9,2008,483852.00
10,2008,437092.00
11,2008,430053.00
12,2008,333792.00
1,2009,384648.00
2,2009,385922.00
3,2009,565055.00
4,2009,1224375.00
5,2009,4161444.00
6,2009,3469178.00
7,2009,1857938.00
8,2009,641402.00
9,2009,413135.00
10,2009,373993.00
11,2009,400256.00
12,2009,255798.00
1,2010,368235.00
2,2010,368110.00
3,2010,625184.00
4,2010,1329650.00
5,2010,2176476.00
6,2010,3755955.00
7,2010,1253398.00
8,2010,952266.00
9,2010,471063.00
10,2010,553768.00
11,2010,401141.00
12,2010,462317.00
1,2011,310300.00
2,2011,315645.00
3,2011,642371.00
4,2011,1254157.00
5,2011,3069273.00
6,2011,6656257.00
7,2011,4445452.00
8,2011,1259075.00
9,2011,693433.00
10,2011,632397.00
11,2011,526584.00
12,2011,360415.00
1,2012,381335.00
2,2012,384155.00
3,2012,733353.00
4,2012,1214816.00
5,2012,1332771.00
6,2012,1027592.00
7,2012,693475.00
8,2012,588002.00
9,2012,349025.00
10,2012,337493.00
11,2012,314136.00
12,2012,224956.00
1,2013,214558.00
2,2013,289611.00
3,2013,359852.00
4,2013,562323.00
5,2013,1927637.00
6,2013,1846707.00
7,2013,843296.00
8,2013,721561.00
9,2013,1208437.00
10,2013,661809.00
11,2013,522745.00
12,2013,337412.00
1,2014,309753.00
2,2014,374178.00
3,2014,562385.00
4,2014,1261030.00
5,2014,2929197.00
6,2014,3901556.00
7,2014,1496786.00
8,2014,970607.00
9,2014,809677.00
